timestamp,strand_id,family,generation,target_service,iteration,capture_offset_s,cpu_usage_pct,memory_usage_pct,http_error_rate_5xx,request_latency_p99,pod_restart_count_delta,network_rx_bytes_delta,network_tx_bytes_delta,cpu_delta_30s,memory_delta_30s,error_rate_delta_30s,latency_delta_30s,cpu_delta_60s,memory_delta_60s,error_rate_delta_60s,latency_delta_60s,service_dependency_affected
1774666091.2679832,resource_synth_0,resource,1,payment-service,1,0,0.9258300936439464,0.7066025261506161,0.32501637067695305,0.39889258141585815,0.5159467835871246,0.1976428934710786,0.6533013380451094,0.1426378456420528,0.3092615425807368,0.14385288765333065,0.17683524925235547,0.534079310276826,0.21673515668693233,0.11070671102922142,0.2582912116281467,0
1774666091.268,resource_synth_1,resource,1,payment-service,1,0,0.8120802532511321,0.8215687948760685,0.25346457897359614,0.3158760321213357,0.3537861599886657,0.7008243604032811,0.5906829989672225,0.27044547108998357,0.23354767830312792,0.04382935322933517,0.05538947744392397,0.45779795188091404,0.3275024264886731,0.14030832491667694,0.24571509797786936,0
1774666091.2680151,resource_synth_2,resource,1,payment-service,1,0,0.87004476325501,0.9747960144913681,0.0,0.4587017697406741,0.6887505434084717,0.06699356555938557,0.42518122040618345,0.33132155398659047,0.41795291223013986,0.0,0.14607752326664294,0.6465448893930289,0.704218899812006,0.0,0.17032217725812293,0
1774666091.26803,resource_synth_3,resource,1,payment-service,1,0,0.6734195734091563,0.5075870681867378,0.08190162285248706,0.6011508293370171,1.072679242470454,0.7011311170376715,0.6507187089980487,0.20105998155915056,0.16133483523339748,0.011483742925978853,0.20939432482835094,0.2833676163326226,0.19934438065740642,0.03672103140795185,0.36124665928255734,0
1774666091.268045,resource_synth_4,resource,1,payment-service,1,0,0.8561231653885657,1.333611041343278,0.27054214608457416,0.5650545918743327,0.6028806587851665,0.4940211158033583,0.27374215105456834,0.25135830313922014,0.2736687858768519,0.07342732116057657,0.0962424964971615,0.587680183237735,0.8865948419994549,0.13142257607228697,0.3836544801775326,0
1774666091.2680588,resource_synth_5,resource,1,payment-service,1,0,0.4149771932346346,0.125887448508205,0.342391143016492,0.7658350203939636,0.2606731392562747,0.3600316483418047,0.36394131679747865,0.17463240094327304,0.06138229127952316,0.047078234339056044,0.2545119168902866,0.1358746301110681,0.04244861884742101,0.24546555619488555,0.5818914848435683,0
1774666091.2680728,resource_synth_6,resource,1,payment-service,1,0,1.1633242971556546,0.9172615553281187,0.21232635937596728,0.16898202492967984,1.367810922778056,0.49831049774069813,0.9613606796959681,0.12984603542812165,0.09705055403515433,0.04497724877728194,0.07504949414863599,0.6221099089011338,0.48560084958822913,0.12423948921444376,0.10670442458170748,0
1774666091.2680871,resource_synth_7,resource,1,payment-service,1,0,0.6596934383542514,0.8067457605242175,0.030540281812757877,0.27721771816876867,0.5476893086889972,0.5668456832264855,0.2868745274828919,0.13191407371237718,0.14149953989442857,0.0035324767059775504,0.06354655864182202,0.2218953718176251,0.33953464535974887,0.023335294457164417,0.1676384139699652,0
1774666091.2681012,resource_synth_8,resource,1,payment-service,1,0,1.1452082395099554,0.8510610506037816,0.36080133192790725,0.4108562458481012,1.16195062554907,0.7701701668735942,0.5918846052598399,0.40727730983258864,0.2672978785012613,0.07822439510552072,0.15605211723143925,0.4741497757535638,0.41552970100436415,0.1382566156374571,0.13381416402986543,0
1774666091.268115,resource_synth_9,resource,1,payment-service,1,0,1.270051139921205,0.880208818261099,0.05662770319866137,0.5459073997970356,0.0,0.6666192277920974,0.0,0.43370506464797737,0.1901542394267193,0.01602540568325027,0.12956621438727506,0.6112708005787526,0.48648196717282643,0.036331307462003096,0.35984356390238903,0
