timestamp,service,cpu_usage_pct,memory_usage_pct,http_error_rate_5xx,request_latency_p99,pod_restart_count_delta,network_rx_bytes_delta,network_tx_bytes_delta
1774664381.9772081,auth-service,0.43996480281577427,17.99774169921875,0.0,0.099,0.0,0.0,0.0
1774664382.022249,api-gateway,30.39878404863806,27.75726318359375,0.0,0.2485227272727273,0.0,0.0,0.0
1774664382.055264,order-service,1.4798816094712408,18.841552734375,0.0,0.21766666666666648,0.0,0.0,0.0
1774664382.0976582,payment-service,1.1199552017919276,18.51043701171875,0.0,0.24723275862068966,0.0,0.0,0.0
1774664382.1323378,inventory-service,1.1600000000000001,17.962646484375,0.0,0.024804347826086957,0.0,0.0,0.0
1774664382.1636019,notification-service,0.2000000000000011,17.852783203125,0.0,0.049636363636363645,0.0,0.0,0.0
1774664387.209975,auth-service,0.23999040038398486,17.99774169921875,0.0,0.04975,0.0,0.0,0.0
1774664387.242156,api-gateway,32.03871845126197,27.9510498046875,0.0,0.09841666666666668,0.0,0.0,0.0
1774664387.2724218,order-service,1.519999999999998,18.841552734375,0.0,0.21175000000000008,0.0,0.0,0.0
1774664387.305762,payment-service,1.1199104071674257,18.51043701171875,0.0,0.0987857142857143,0.0,0.0,0.0
1774664387.338825,inventory-service,1.239950401983921,17.962646484375,0.0,0.0497,0.0,0.0,0.0
1774664387.371113,notification-service,0.1599936002559899,17.852783203125,0.0,0.049600000000000005,0.0,0.0,0.0
1774664392.407669,auth-service,0.12000000000000012,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664392.442137,api-gateway,32.440000000000026,27.740478515625,0.0,0.08992391304347817,0.0,0.0,0.0
1774664392.478736,order-service,1.4400000000000013,18.841552734375,0.0,0.19060000000000027,0.0,0.0,0.0
1774664392.512532,payment-service,1.1199552017919276,18.51043701171875,0.0,0.2473,0.0,0.0,0.0
1774664392.54996,inventory-service,1.2799488020479193,17.962646484375,0.0,0.0495625,0.0,0.0,0.0
1774664392.58354,notification-service,0.23999040038398486,17.852783203125,0.0,0.04952777777777778,0.0,0.0,0.0
1774664397.620407,auth-service,0.12000000000000012,17.99774169921875,0.0,0.09699999999999999,0.0,0.0,0.0
1774664397.658804,api-gateway,31.87872485100593,27.740478515625,0.0,0.24019827586206896,0.0,0.0,0.0
1774664397.691862,order-service,1.3999440022399108,18.841552734375,0.0,0.21121428571428574,0.0,0.0,0.0
1774664397.724483,payment-service,1.1600000000000001,18.51043701171875,0.0,0.09910000000000001,0.0,0.0,0.0
1774664397.755918,inventory-service,1.2799488020479193,17.962646484375,0.0,0.049600000000000005,0.0,0.0,0.0
1774664397.787756,notification-service,0.23999999999999932,17.852783203125,0.0,0.24725,0.0,0.0,0.0
1774664402.826833,auth-service,0.1599936002559899,17.99774169921875,0.0,0.09399999999999997,0.0,0.0,0.0
1774664402.877619,api-gateway,34.640000000000015,28.179931640625,0.0,0.24958724832214763,0.0,0.0,0.0
1774664402.925809,order-service,1.3599999999999994,18.841552734375,0.0,0.098875,0.0,0.0,0.0
1774664402.965292,payment-service,1.1600000000000001,18.51043701171875,0.0,0.24706617647058823,0.0,0.0,0.0
1774664403.004101,inventory-service,1.4000000000000004,17.962646484375,0.0,0.049625,0.0,0.0,0.0
1774664403.043512,notification-service,0.24001920153612308,17.852783203125,0.0,0.2475,0.0,0.0,0.0
1774664408.084171,auth-service,0.15998720102391822,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664408.128813,api-gateway,35.60000000000002,28.179931640625,0.0,0.24945283018867925,0.0,0.0,0.0
1774664408.186552,order-service,1.4401152092167369,18.841552734375,0.0,0.20170000000000016,0.0,0.0,0.0
1774664408.234776,payment-service,1.1600000000000001,18.51043701171875,0.0,0.2473157894736842,0.0,0.0,0.0
1774664408.280311,inventory-service,1.3999999999999986,17.962646484375,0.0,0.04966666666666667,0.0,0.0,0.0
1774664408.330009,notification-service,0.23999999999999846,17.852783203125,0.0,0.2479375,0.0,0.0,0.0
1774664413.391021,auth-service,0.19998400127989777,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664413.4452999,api-gateway,35.99999999999997,27.75421142578125,0.0,0.09840000000000002,0.0,0.0,0.0
1774664413.497659,order-service,1.519999999999998,18.939208984375,0.0,0.09816666666666667,0.0,0.0,0.0
1774664413.557836,payment-service,1.2801024081926549,18.51043701171875,0.0,0.24719999999999998,0.0,0.0,0.0
1774664413.613152,inventory-service,1.4000000000000004,17.962646484375,0.0,0.0496875,0.0,0.0,0.0
1774664413.6598752,notification-service,0.23999999999999932,17.852783203125,0.0,0.24764285714285714,0.0,0.0,0.0
1774664418.7089212,auth-service,0.20000000000000018,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664418.751363,api-gateway,35.99999999999997,27.75421142578125,0.0,0.223,0.0,0.0,0.0
1774664418.797106,order-service,1.68,19.036865234375,0.0,0.04966666666666667,0.0,0.0,0.0
1774664418.843821,payment-service,1.4000000000000004,18.51043701171875,0.0,0.09928571428571428,0.0,0.0,0.0
1774664418.9131799,inventory-service,1.2799999999999994,18.011474609375,0.0,0.0497,0.0,0.0,0.0
1774664418.961189,notification-service,0.23999999999999932,17.852783203125,0.0,0.248,0.0,0.0,0.0
1774664424.008395,auth-service,0.20000000000000018,17.99774169921875,0.0,0.0497,0.0,0.0,0.0
1774664424.100777,api-gateway,38.56000000000003,27.75421142578125,0.0,0.45,0.0,0.0,0.0
1774664424.1580842,order-service,1.8798496120310384,19.085693359375,0.0,0.18175000000000008,0.0,0.0,0.0
1774664424.213661,payment-service,1.4399999999999977,18.51043701171875,0.0,0.24661206896551724,0.0,0.0,0.0
1774664424.2747111,inventory-service,1.4800000000000004,18.011474609375,0.0,0.02481741379310345,0.0,0.0,0.0
1774664424.348898,notification-service,0.23999999999999932,17.852783203125,0.0,0.095,0.0,0.0,0.0
1774664429.416131,auth-service,0.16001920230427666,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664429.4600918,api-gateway,37.360000000000014,27.75421142578125,0.0,0.21100000000000016,0.0,0.0,0.0
1774664429.56143,order-service,1.960000000000001,19.085693359375,0.0,0.21493750000000014,0.0,0.0,0.0
1774664429.6044722,payment-service,1.4801184094727584,18.51043701171875,0.0,0.2474772727272727,0.0,0.0,0.0
1774664429.649419,inventory-service,1.4800000000000004,18.011474609375,0.0,0.024817222222222223,0.0,0.0,0.0
1774664429.700812,notification-service,0.27996640403151646,17.852783203125,0.0,0.09550000000000002,0.0,0.0,0.0
1774664434.7503,auth-service,0.16001280102408208,17.99774169921875,0.0,nan,0.0,0.0,0.0
1774664434.801805,api-gateway,38.120000000000005,27.75421142578125,0.0,0.24025000000000005,0.0,0.0,0.0
1774664434.840906,order-service,1.92,19.085693359375,0.0,0.099,0.0,0.0,0.0
1774664434.882755,payment-service,1.320000000000002,18.51043701171875,0.04000000000000001,0.24738181818181817,0.0,0.0,0.0
1774664434.929754,inventory-service,1.5200000000000014,18.011474609375,0.0,0.024814210526315793,0.0,0.0,0.0
1774664434.977107,notification-service,0.2799776017918569,17.852783203125,0.0,0.09399999999999997,0.0,0.0,0.0
1774664440.0333781,auth-service,0.12000960076806155,17.99774169921875,0.0,nan,0.0,0.0,0.0
